epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,27913.6,0.31006,0.3983,0.95218,0.91194,0.92728,0.96926,0.91687,0.31059,0.39313,0.95823,0.000283085,0.000283085,0.000283085
83,28238,0.305,0.3826,0.95228,0.93542,0.93856,0.97839,0.93145,0.28328,0.34875,0.93032,0.000268938,0.000268938,0.000268938
84,28576.8,0.32918,0.40506,0.95923,0.90759,0.96599,0.97972,0.92743,0.28124,0.34946,0.93928,0.000254791,0.000254791,0.000254791
85,28918.2,0.29527,0.39017,0.93848,0.91408,0.95898,0.97932,0.92555,0.29892,0.34323,0.94191,0.000240644,0.000240644,0.000240644
86,29263.1,0.33067,0.41464,0.96558,0.91493,0.95789,0.98313,0.9281,0.28698,0.35161,0.93431,0.000226497,0.000226497,0.000226497
87,29588,0.31735,0.3878,0.95234,0.91308,0.94723,0.98064,0.92575,0.27997,0.34521,0.92118,0.000212349,0.000212349,0.000212349
88,29943.7,0.30231,0.37716,0.95029,0.92251,0.94347,0.97444,0.91968,0.28787,0.36689,0.93802,0.000198202,0.000198202,0.000198202
89,30260.4,0.2947,0.38698,0.93826,0.94291,0.96036,0.98056,0.92503,0.28032,0.33756,0.94402,0.000184055,0.000184055,0.000184055
90,30595.6,0.29632,0.3718,0.93455,0.92675,0.95389,0.9818,0.93607,0.26468,0.32769,0.92042,0.000169908,0.000169908,0.000169908
91,31000.5,0.29974,0.29132,0.89923,0.94282,0.95212,0.97946,0.9328,0.27425,0.33472,0.92413,0.000155761,0.000155761,0.000155761
92,31393.1,0.29234,0.26685,0.8947,0.93015,0.95322,0.98101,0.93836,0.26703,0.332,0.92364,0.000141614,0.000141614,0.000141614
93,31786.4,0.27942,0.26353,0.8895,0.89004,0.96148,0.97231,0.9296,0.26759,0.41279,0.92391,0.000127467,0.000127467,0.000127467
94,32194.4,0.27779,0.27015,0.89679,0.94931,0.93753,0.97832,0.93594,0.26567,0.33549,0.9196,0.00011332,0.00011332,0.00011332
95,32599.9,0.27409,0.24171,0.89164,0.89715,0.97933,0.97748,0.936,0.25842,0.35691,0.91981,9.91726e-05,9.91726e-05,9.91726e-05
96,33009.6,0.26887,0.23874,0.88959,0.95019,0.9475,0.98151,0.93952,0.25663,0.31663,0.90978,8.50255e-05,8.50255e-05,8.50255e-05
97,33431.6,0.25904,0.2327,0.88644,0.92441,0.98379,0.98337,0.943,0.26504,0.32085,0.92295,7.08784e-05,7.08784e-05,7.08784e-05
98,33824.6,0.26531,0.22506,0.89319,0.95292,0.95305,0.98473,0.9439,0.25695,0.31551,0.92045,5.67313e-05,5.67313e-05,5.67313e-05
99,34268.1,0.26877,0.24081,0.90492,0.93626,0.95143,0.98314,0.94273,0.25124,0.33465,0.91079,4.25842e-05,4.25842e-05,4.25842e-05
100,34657.7,0.25309,0.22172,0.88488,0.94786,0.98031,0.98242,0.94644,0.24822,0.31888,0.90385,2.84371e-05,2.84371e-05,2.84371e-05
